2026-01-12 17:39:20 | INFO     | log_config      | 全局日志配置初始化完成
2026-01-12 17:39:20 | INFO     | login_window    | 登录窗口已初始化完成
2026-01-12 17:39:25 | INFO     | login_window    | 用户尝试登录，输入的用户名为：pyd
2026-01-12 17:39:25 | SUCCESS  | login_window    | 用户「pyd」登录成功，用户文件夹路径：./voice_dataset\pyd
2026-01-12 17:39:25 | INFO     | main_window     | 「pyd」的主窗口已初始化，默认算法：SHERPA
2026-01-12 17:39:25 | DEBUG    | main_window     | 用户「pyd」数据状态：当前样本数 0，SHERPA 算法需要 3 个，状态 不足
2026-01-12 17:39:25 | DEBUG    | main_window     | 用户「pyd」模型状态：SHERPA=未训练，ECAPA=未训练
2026-01-12 17:39:29 | INFO     | train_count_setting | 用户「pyd」的训练音频数量设置窗口初始化完成，SHERPA算法最低要求3条
2026-01-12 17:39:29 | INFO     | main_window     | 用户「pyd」打开了训练音频数量设置窗口
2026-01-12 17:39:38 | SUCCESS  | train_count_setting | 用户「pyd」确认训练音频数量：3条（SHERPA算法最低要求3条）
2026-01-12 17:39:38 | INFO     | train_data_window | 用户「pyd」的训练数据采集窗口初始化完成，采集数量：3条，训练素材已随机打乱
2026-01-12 17:39:38 | DEBUG    | train_data_window | 用户「pyd」刷新训练音频列表，当前已录制 0 个训练文件
2026-01-12 17:39:52 | INFO     | train_data_window | 用户「pyd」开始录制训练音频（第 1 条），保存路径：./voice_dataset\pyd\train_1_1768210792.wav，录制时长：4 秒
2026-01-12 17:39:52 | INFO     | audio_recorder  | 音频录制线程初始化完成
  保存路径：./voice_dataset\pyd\train_1_1768210792.wav
  录制时长：4 秒
  采样率：16000 Hz
  声道数：1
  采样格式：8（paInt16对应16位深度）
2026-01-12 17:39:52 | INFO     | audio_recorder  | 开始初始化PyAudio实例并创建音频输入流
2026-01-12 17:39:53 | DEBUG    | audio_recorder  | PyAudio实例初始化成功，音频流已打开（数据块大小：1024）
2026-01-12 17:39:53 | INFO     | audio_recorder  | 开始音频采集，总数据块数：62，预计录制4秒
2026-01-12 17:39:54 | DEBUG    | audio_recorder  | 音频采集进度：1%（第1/62个数据块），剩余4.0秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余4.0秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.9秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.9秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.8秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.7秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.7秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.6秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.6秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.5秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.4秒
2026-01-12 17:39:54 | DEBUG    | audio_recorder  | 音频采集进度：17%（第11/62个数据块），剩余3.4秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.4秒
2026-01-12 17:39:54 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.3秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.2秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.2秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.1秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.0秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余3.0秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.9秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.8秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.8秒
2026-01-12 17:39:55 | DEBUG    | audio_recorder  | 音频采集进度：33%（第21/62个数据块），剩余2.7秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.7秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.7秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.6秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.5秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.5秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.4秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.3秒
2026-01-12 17:39:55 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.3秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.2秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.1秒
2026-01-12 17:39:56 | DEBUG    | audio_recorder  | 音频采集进度：50%（第31/62个数据块），剩余2.1秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.1秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.0秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余2.0秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余1.9秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余1.8秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余1.8秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余1.7秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余1.6秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余1.6秒
2026-01-12 17:39:56 | DEBUG    | train_data_window | 用户「pyd」训练音频录制状态（第 1 条）：正在录制：剩余1.5秒
2026-01-12 17:39:56 | DEBUG    | audio_recorder  | 音频采集进度：66%（第41/62个数据块），剩余1.4秒
